,名称,カテゴリー,アドレス,アクセス,築年数,構造,階数,家賃,管理費,敷金,礼金,間取り,面積,URL
1002,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,東急東横線/学芸大学駅 歩9分,築15年,4階建,3-4階,26.5万円,-,26.5万円,26.5万円,2LDK,82.47m2,https://suumo.jp/chintai/jnc_000084401017/
1003,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,東急東横線/学芸大学駅 歩9分,築15年,4階建,3階,26.5万円,-,26.5万円,26.5万円,2SLDK,82.47m2,https://suumo.jp/chintai/jnc_000084395306/
1004,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,東急東横線/都立大学駅 歩21分,築15年,4階建,1階,12.8万円,-,12.8万円,12.8万円,ワンルーム,35.91m2,https://suumo.jp/chintai/jnc_000047500337/
1005,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,東急東横線/都立大学駅 歩21分,築15年,4階建,1階,12.8万円,10000円,12.8万円,-,ワンルーム,35.91m2,https://suumo.jp/chintai/jnc_000083411095/
1006,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,東急東横線/都立大学駅 歩21分,築15年,4階建,2階,12.9万円,10000円,12.9万円,12.9万円,ワンルーム,35.91m2,https://suumo.jp/chintai/jnc_000085040197/
1007,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,東急東横線/都立大学駅 歩21分,築15年,4階建,2階,18.6万円,-,18.6万円,18.6万円,1LDK,44.37m2,https://suumo.jp/chintai/jnc_000086659452/
1008,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,東急東横線/都立大学駅 歩21分,築15年,4階建,3-4階,25.5万円,-,25.5万円,25.5万円,2LDK,77.01m2,https://suumo.jp/chintai/jnc_000083411096/
1009,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,東急東横線/都立大学駅 歩21分,築15年,4階建,3階,26万円,-,26万円,26万円,2LDK,77.01m2,https://suumo.jp/chintai/jnc_000086655184/
1010,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,東急東横線/都立大学駅 歩21分,築15年,4階建,3階,26万円,-,26万円,26万円,2LDK,77.01m2,https://suumo.jp/chintai/jnc_000086659453/
1011,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,東急東横線/都立大学駅 歩21分,築15年,4階建,3-4階,26.5万円,-,26.5万円,26.5万円,2LDK,82.47m2,https://suumo.jp/chintai/jnc_000084401017/
1012,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,東急東横線/都立大学駅 歩21分,築15年,4階建,3階,26.5万円,-,26.5万円,26.5万円,2SLDK,82.47m2,https://suumo.jp/chintai/jnc_000084395306/
1013,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,ＪＲ山手線/目黒駅 バス17分 (バス停)田向公園 歩2分,築15年,4階建,1階,12.8万円,-,12.8万円,12.8万円,ワンルーム,35.91m2,https://suumo.jp/chintai/jnc_000047500337/
1014,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,ＪＲ山手線/目黒駅 バス17分 (バス停)田向公園 歩2分,築15年,4階建,1階,12.8万円,10000円,12.8万円,-,ワンルーム,35.91m2,https://suumo.jp/chintai/jnc_000083411095/
1015,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,ＪＲ山手線/目黒駅 バス17分 (バス停)田向公園 歩2分,築15年,4階建,2階,12.9万円,10000円,12.9万円,12.9万円,ワンルーム,35.91m2,https://suumo.jp/chintai/jnc_000085040197/
1016,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,ＪＲ山手線/目黒駅 バス17分 (バス停)田向公園 歩2分,築15年,4階建,2階,18.6万円,-,18.6万円,18.6万円,1LDK,44.37m2,https://suumo.jp/chintai/jnc_000086659452/
1017,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,ＪＲ山手線/目黒駅 バス17分 (バス停)田向公園 歩2分,築15年,4階建,3-4階,25.5万円,-,25.5万円,25.5万円,2LDK,77.01m2,https://suumo.jp/chintai/jnc_000083411096/
1018,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,ＪＲ山手線/目黒駅 バス17分 (バス停)田向公園 歩2分,築15年,4階建,3階,26万円,-,26万円,26万円,2LDK,77.01m2,https://suumo.jp/chintai/jnc_000086655184/
1019,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,ＪＲ山手線/目黒駅 バス17分 (バス停)田向公園 歩2分,築15年,4階建,3階,26万円,-,26万円,26万円,2LDK,77.01m2,https://suumo.jp/chintai/jnc_000086659453/
1020,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,ＪＲ山手線/目黒駅 バス17分 (バス停)田向公園 歩2分,築15年,4階建,3-4階,26.5万円,-,26.5万円,26.5万円,2LDK,82.47m2,https://suumo.jp/chintai/jnc_000084401017/
1021,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,ＪＲ山手線/目黒駅 バス17分 (バス停)田向公園 歩2分,築15年,4階建,3階,26.5万円,-,26.5万円,26.5万円,2SLDK,82.47m2,https://suumo.jp/chintai/jnc_000084395306/
1022,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,築3年,7階建,1階,11.8万円,10000円,11.8万円,-,1K,26.47m2,https://suumo.jp/chintai/jnc_000086731742/
1023,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,築3年,7階建,1階,11.8万円,13000円,11.8万円,-,1K,26.47m2,https://suumo.jp/chintai/jnc_000086724089/
1024,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,築3年,7階建,4階,12.5万円,10000円,12.5万円,-,1K,26.47m2,https://suumo.jp/chintai/jnc_000070294103/
1025,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,築3年,7階建,4階,12.5万円,13000円,12.5万円,-,1K,26.47m2,https://suumo.jp/chintai/jnc_000086724092/
1026,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,築3年,7階建,3階,13.9万円,10000円,13.9万円,-,1K,28.77m2,https://suumo.jp/chintai/jnc_000070294101/
1027,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,築3年,7階建,3階,13.9万円,13000円,13.9万円,-,ワンルーム,28.77m2,https://suumo.jp/chintai/jnc_000086724091/
1028,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,築3年,7階建,3階,14万円,13000円,14万円,-,ワンルーム,29.18m2,https://suumo.jp/chintai/jnc_000085533763/
1029,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,築3年,7階建,6階,26万円,15000円,26万円,-,1LDK,45.63m2,https://suumo.jp/chintai/jnc_000086724093/
1030,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,築3年,7階建,5階,28万円,10000円,28万円,-,ワンルーム,51.3m2,https://suumo.jp/chintai/jnc_000077941380/
1031,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,築3年,7階建,6階,27.8万円,15000円,27.8万円,-,1LDK,51.3m2,https://suumo.jp/chintai/jnc_000084818352/
1032,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,築3年,7階建,3階,30万円,20000円,30万円,-,2LDK,54.95m2,https://suumo.jp/chintai/jnc_000086724090/
1033,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,築3年,7階建,2階,30万円,20000円,30万円,-,2LDK,54.95m2,https://suumo.jp/chintai/jnc_000083376170/
1034,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,築3年,7階建,7階,32万円,20000円,32万円,-,2LDK,54.95m2,https://suumo.jp/chintai/jnc_000084590151/
1035,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,築3年,7階建,6階,32万円,20000円,32万円,-,2LDK,54.95m2,https://suumo.jp/chintai/jnc_000080424415/
1036,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,築3年,7階建,1階,11.8万円,10000円,11.8万円,-,1K,26.47m2,https://suumo.jp/chintai/jnc_000086731742/
1037,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,築3年,7階建,1階,11.8万円,13000円,11.8万円,-,1K,26.47m2,https://suumo.jp/chintai/jnc_000086724089/
1038,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,築3年,7階建,4階,12.5万円,10000円,12.5万円,-,1K,26.47m2,https://suumo.jp/chintai/jnc_000070294103/
1039,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,築3年,7階建,4階,12.5万円,13000円,12.5万円,-,1K,26.47m2,https://suumo.jp/chintai/jnc_000086724092/
1040,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,築3年,7階建,3階,13.9万円,10000円,13.9万円,-,1K,28.77m2,https://suumo.jp/chintai/jnc_000070294101/
1041,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,築3年,7階建,3階,13.9万円,13000円,13.9万円,-,ワンルーム,28.77m2,https://suumo.jp/chintai/jnc_000086724091/
1042,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,築3年,7階建,3階,14万円,13000円,14万円,-,ワンルーム,29.18m2,https://suumo.jp/chintai/jnc_000085533763/
1043,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,築3年,7階建,6階,26万円,15000円,26万円,-,1LDK,45.63m2,https://suumo.jp/chintai/jnc_000086724093/
1044,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,築3年,7階建,5階,28万円,10000円,28万円,-,ワンルーム,51.3m2,https://suumo.jp/chintai/jnc_000077941380/
1045,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,築3年,7階建,6階,27.8万円,15000円,27.8万円,-,1LDK,51.3m2,https://suumo.jp/chintai/jnc_000084818352/
1046,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,築3年,7階建,3階,30万円,20000円,30万円,-,2LDK,54.95m2,https://suumo.jp/chintai/jnc_000086724090/
1047,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,築3年,7階建,2階,30万円,20000円,30万円,-,2LDK,54.95m2,https://suumo.jp/chintai/jnc_000083376170/
1048,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,築3年,7階建,7階,32万円,20000円,32万円,-,2LDK,54.95m2,https://suumo.jp/chintai/jnc_000084590151/
1049,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,築3年,7階建,6階,32万円,20000円,32万円,-,2LDK,54.95m2,https://suumo.jp/chintai/jnc_000080424415/
1050,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,ＪＲ山手線/渋谷駅 歩13分,築3年,7階建,1階,11.8万円,10000円,11.8万円,-,1K,26.47m2,https://suumo.jp/chintai/jnc_000086731742/
1051,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,ＪＲ山手線/渋谷駅 歩13分,築3年,7階建,1階,11.8万円,13000円,11.8万円,-,1K,26.47m2,https://suumo.jp/chintai/jnc_000086724089/
1052,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,ＪＲ山手線/渋谷駅 歩13分,築3年,7階建,4階,12.5万円,10000円,12.5万円,-,1K,26.47m2,https://suumo.jp/chintai/jnc_000070294103/
1053,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,ＪＲ山手線/渋谷駅 歩13分,築3年,7階建,4階,12.5万円,13000円,12.5万円,-,1K,26.47m2,https://suumo.jp/chintai/jnc_000086724092/
1054,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,ＪＲ山手線/渋谷駅 歩13分,築3年,7階建,3階,13.9万円,10000円,13.9万円,-,1K,28.77m2,https://suumo.jp/chintai/jnc_000070294101/
1055,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,ＪＲ山手線/渋谷駅 歩13分,築3年,7階建,3階,13.9万円,13000円,13.9万円,-,ワンルーム,28.77m2,https://suumo.jp/chintai/jnc_000086724091/
1056,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,ＪＲ山手線/渋谷駅 歩13分,築3年,7階建,3階,14万円,13000円,14万円,-,ワンルーム,29.18m2,https://suumo.jp/chintai/jnc_000085533763/
1057,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,ＪＲ山手線/渋谷駅 歩13分,築3年,7階建,6階,26万円,15000円,26万円,-,1LDK,45.63m2,https://suumo.jp/chintai/jnc_000086724093/
1058,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,ＪＲ山手線/渋谷駅 歩13分,築3年,7階建,5階,28万円,10000円,28万円,-,ワンルーム,51.3m2,https://suumo.jp/chintai/jnc_000077941380/
1059,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,ＪＲ山手線/渋谷駅 歩13分,築3年,7階建,6階,27.8万円,15000円,27.8万円,-,1LDK,51.3m2,https://suumo.jp/chintai/jnc_000084818352/
1060,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,ＪＲ山手線/渋谷駅 歩13分,築3年,7階建,3階,30万円,20000円,30万円,-,2LDK,54.95m2,https://suumo.jp/chintai/jnc_000086724090/
1061,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,ＪＲ山手線/渋谷駅 歩13分,築3年,7階建,2階,30万円,20000円,30万円,-,2LDK,54.95m2,https://suumo.jp/chintai/jnc_000083376170/
1062,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,ＪＲ山手線/渋谷駅 歩13分,築3年,7階建,7階,32万円,20000円,32万円,-,2LDK,54.95m2,https://suumo.jp/chintai/jnc_000084590151/
1063,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,ＪＲ山手線/渋谷駅 歩13分,築3年,7階建,6階,32万円,20000円,32万円,-,2LDK,54.95m2,https://suumo.jp/chintai/jnc_000080424415/
1064,GRAN PASEO碑文谷South,賃貸マンション,東京都目黒区碑文谷３,東急東横線/都立大学駅 歩9分,築3年,4階建,1階,11.5万円,10000円,-,-,ワンルーム,27.28m2,https://suumo.jp/chintai/jnc_000085302064/
1065,GRAN PASEO碑文谷South,賃貸マンション,東京都目黒区碑文谷３,東急東横線/都立大学駅 歩9分,築3年,4階建,3階,11.8万円,10000円,-,-,ワンルーム,27.28m2,https://suumo.jp/chintai/jnc_000069802603/
1066,GRAN PASEO碑文谷South,賃貸マンション,東京都目黒区碑文谷３,東急東横線/都立大学駅 歩9分,築3年,4階建,4階,12.3万円,10000円,-,-,ワンルーム,27.28m2,https://suumo.jp/chintai/jnc_000085341154/
1067,GRAN PASEO碑文谷South,賃貸マンション,東京都目黒区碑文谷３,東急東横線/都立大学駅 歩9分,築3年,4階建,3階,14.3万円,13000円,-,-,1LDK,31.07m2,https://suumo.jp/chintai/jnc_000069765169/
1068,GRAN PASEO碑文谷South,賃貸マンション,東京都目黒区碑文谷３,東急東横線/都立大学駅 歩9分,築3年,4階建,4階,14.8万円,15000円,-,-,1LDK,31.07m2,https://suumo.jp/chintai/jnc_000086672245/
1069,GRAN PASEO碑文谷South,賃貸マンション,東京都目黒区碑文谷３,東急東横線/都立大学駅 歩9分,築3年,4階建,3階,20.5万円,15000円,-,-,2SLDK,48.02m2,https://suumo.jp/chintai/jnc_000085827443/
1070,GRAN PASEO碑文谷South,賃貸マンション,東京都目黒区碑文谷３,東急東横線/都立大学駅 歩9分,築3年,4階建,3階,21万円,15000円,-,-,2LDK,47.05m2,https://suumo.jp/chintai/jnc_000085504586/
1071,GRAN PASEO碑文谷South,賃貸マンション,東京都目黒区碑文谷３,東急目黒線/大岡山駅 歩15分,築3年,4階建,1階,11.5万円,10000円,-,-,ワンルーム,27.28m2,https://suumo.jp/chintai/jnc_000085302064/
1072,GRAN PASEO碑文谷South,賃貸マンション,東京都目黒区碑文谷３,東急目黒線/大岡山駅 歩15分,築3年,4階建,3階,11.8万円,10000円,-,-,ワンルーム,27.28m2,https://suumo.jp/chintai/jnc_000069802603/
1073,GRAN PASEO碑文谷South,賃貸マンション,東京都目黒区碑文谷３,東急目黒線/大岡山駅 歩15分,築3年,4階建,4階,12.3万円,10000円,-,-,ワンルーム,27.28m2,https://suumo.jp/chintai/jnc_000085341154/
1074,GRAN PASEO碑文谷South,賃貸マンション,東京都目黒区碑文谷３,東急目黒線/大岡山駅 歩15分,築3年,4階建,3階,14.3万円,13000円,-,-,1LDK,31.07m2,https://suumo.jp/chintai/jnc_000069765169/
1075,GRAN PASEO碑文谷South,賃貸マンション,東京都目黒区碑文谷３,東急目黒線/大岡山駅 歩15分,築3年,4階建,4階,14.8万円,15000円,-,-,1LDK,31.07m2,https://suumo.jp/chintai/jnc_000086672245/
1076,GRAN PASEO碑文谷South,賃貸マンション,東京都目黒区碑文谷３,東急目黒線/大岡山駅 歩15分,築3年,4階建,3階,20.5万円,15000円,-,-,2SLDK,48.02m2,https://suumo.jp/chintai/jnc_000085827443/
1077,GRAN PASEO碑文谷South,賃貸マンション,東京都目黒区碑文谷３,東急目黒線/大岡山駅 歩15分,築3年,4階建,3階,21万円,15000円,-,-,2LDK,47.05m2,https://suumo.jp/chintai/jnc_000085504586/
1078,GRAN PASEO碑文谷South,賃貸マンション,東京都目黒区碑文谷３,東急東横線/学芸大学駅 歩19分,築3年,4階建,1階,11.5万円,10000円,-,-,ワンルーム,27.28m2,https://suumo.jp/chintai/jnc_000085302064/
1079,GRAN PASEO碑文谷South,賃貸マンション,東京都目黒区碑文谷３,東急東横線/学芸大学駅 歩19分,築3年,4階建,3階,11.8万円,10000円,-,-,ワンルーム,27.28m2,https://suumo.jp/chintai/jnc_000069802603/
1080,GRAN PASEO碑文谷South,賃貸マンション,東京都目黒区碑文谷３,東急東横線/学芸大学駅 歩19分,築3年,4階建,4階,12.3万円,10000円,-,-,ワンルーム,27.28m2,https://suumo.jp/chintai/jnc_000085341154/
1081,GRAN PASEO碑文谷South,賃貸マンション,東京都目黒区碑文谷３,東急東横線/学芸大学駅 歩19分,築3年,4階建,3階,14.3万円,13000円,-,-,1LDK,31.07m2,https://suumo.jp/chintai/jnc_000069765169/
1082,GRAN PASEO碑文谷South,賃貸マンション,東京都目黒区碑文谷３,東急東横線/学芸大学駅 歩19分,築3年,4階建,4階,14.8万円,15000円,-,-,1LDK,31.07m2,https://suumo.jp/chintai/jnc_000086672245/
1083,GRAN PASEO碑文谷South,賃貸マンション,東京都目黒区碑文谷３,東急東横線/学芸大学駅 歩19分,築3年,4階建,3階,20.5万円,15000円,-,-,2SLDK,48.02m2,https://suumo.jp/chintai/jnc_000085827443/
1084,GRAN PASEO碑文谷South,賃貸マンション,東京都目黒区碑文谷３,東急東横線/学芸大学駅 歩19分,築3年,4階建,3階,21万円,15000円,-,-,2LDK,47.05m2,https://suumo.jp/chintai/jnc_000085504586/
1085,パークリュクス目黒,賃貸マンション,東京都目黒区下目黒３,東急目黒線/不動前駅 歩8分,築10年,14階建,14階,26.3万円,16000円,26.3万円,26.3万円,2LDK,55.74m2,https://suumo.jp/chintai/jnc_000086083075/
1086,パークリュクス目黒,賃貸マンション,東京都目黒区下目黒３,東急目黒線/不動前駅 歩8分,築10年,14階建,14階,26.3万円,16000円,26.3万円,26.3万円,2LDK,55.74m2,https://suumo.jp/chintai/jnc_000086083073/
1087,パークリュクス目黒,賃貸マンション,東京都目黒区下目黒３,ＪＲ山手線/目黒駅 歩10分,築10年,14階建,14階,26.3万円,16000円,26.3万円,26.3万円,2LDK,55.74m2,https://suumo.jp/chintai/jnc_000086083075/
1088,パークリュクス目黒,賃貸マンション,東京都目黒区下目黒３,ＪＲ山手線/目黒駅 歩10分,築10年,14階建,14階,26.3万円,16000円,26.3万円,26.3万円,2LDK,55.74m2,https://suumo.jp/chintai/jnc_000086083073/
1089,パークリュクス目黒,賃貸マンション,東京都目黒区下目黒３,ＪＲ山手線/五反田駅 歩20分,築10年,14階建,14階,26.3万円,16000円,26.3万円,26.3万円,2LDK,55.74m2,https://suumo.jp/chintai/jnc_000086083075/
1090,パークリュクス目黒,賃貸マンション,東京都目黒区下目黒３,ＪＲ山手線/五反田駅 歩20分,築10年,14階建,14階,26.3万円,16000円,26.3万円,26.3万円,2LDK,55.74m2,https://suumo.jp/chintai/jnc_000086083073/
1091,ガーデンコート中根,賃貸マンション,東京都目黒区中根２,東急東横線/都立大学駅 歩7分,築6年,3階建,1階,15.5万円,8000円,15.5万円,15.5万円,1LDK,45.02m2,https://suumo.jp/chintai/jnc_000086489637/
1092,ガーデンコート中根,賃貸マンション,東京都目黒区中根２,東急東横線/自由が丘駅 歩11分,築6年,3階建,1階,15.5万円,8000円,15.5万円,15.5万円,1LDK,45.02m2,https://suumo.jp/chintai/jnc_000086489637/
1093,ガーデンコート中根,賃貸マンション,東京都目黒区中根２,東急大井町線/緑が丘駅 歩14分,築6年,3階建,1階,15.5万円,8000円,15.5万円,15.5万円,1LDK,45.02m2,https://suumo.jp/chintai/jnc_000086489637/
1094,東急東横線 都立大学駅 2階建 築2年,賃貸アパート,東京都目黒区平町１,東急東横線/都立大学駅 歩9分,築2年,2階建,2階,15.5万円,3000円,15.5万円,15.5万円,1LDK,45.81m2,https://suumo.jp/chintai/jnc_000086271408/
1095,東急東横線 都立大学駅 2階建 築2年,賃貸アパート,東京都目黒区平町１,東急大井町線/大岡山駅 歩18分,築2年,2階建,2階,15.5万円,3000円,15.5万円,15.5万円,1LDK,45.81m2,https://suumo.jp/chintai/jnc_000086271408/
1096,東急東横線 都立大学駅 2階建 築2年,賃貸アパート,東京都目黒区平町１,東急目黒線/洗足駅 歩20分,築2年,2階建,2階,15.5万円,3000円,15.5万円,15.5万円,1LDK,45.81m2,https://suumo.jp/chintai/jnc_000086271408/
1097,東急目黒線 武蔵小山駅 5階建 築3年,賃貸マンション,東京都目黒区目黒本町５,東急目黒線/武蔵小山駅 歩6分,築3年,5階建,4階,16.4万円,12000円,16.4万円,16.4万円,1LDK,40m2,https://suumo.jp/chintai/jnc_000086747287/
1098,東急目黒線 武蔵小山駅 5階建 築3年,賃貸マンション,東京都目黒区目黒本町５,東急目黒線/西小山駅 歩9分,築3年,5階建,4階,16.4万円,12000円,16.4万円,16.4万円,1LDK,40m2,https://suumo.jp/chintai/jnc_000086747287/
1099,東急目黒線 武蔵小山駅 5階建 築3年,賃貸マンション,東京都目黒区目黒本町５,東急目黒線/不動前駅 歩18分,築3年,5階建,4階,16.4万円,12000円,16.4万円,16.4万円,1LDK,40m2,https://suumo.jp/chintai/jnc_000086747287/
1100,東急目黒線 武蔵小山駅 4階建 築7年,賃貸マンション,東京都目黒区目黒本町５,東急目黒線/武蔵小山駅 歩8分,築7年,4階建,4階,13.1万円,4000円,13.1万円,13.1万円,1LDK,32.13m2,https://suumo.jp/chintai/jnc_000051726554/
1101,東急目黒線 武蔵小山駅 4階建 築7年,賃貸マンション,東京都目黒区目黒本町５,東急目黒線/西小山駅 歩5分,築7年,4階建,4階,13.1万円,4000円,13.1万円,13.1万円,1LDK,32.13m2,https://suumo.jp/chintai/jnc_000051726554/
1102,東急目黒線 武蔵小山駅 4階建 築7年,賃貸マンション,東京都目黒区目黒本町５,東急池上線/戸越銀座駅 歩23分,築7年,4階建,4階,13.1万円,4000円,13.1万円,13.1万円,1LDK,32.13m2,https://suumo.jp/chintai/jnc_000051726554/
1103,エルファーロ都立大学,賃貸マンション,東京都目黒区中根１,東急東横線/都立大学駅 歩4分,新築,4階建,4階,12.3万円,10000円,-,-,1LDK,27.49m2,https://suumo.jp/chintai/jnc_000086634629/
1104,エルファーロ都立大学,賃貸マンション,東京都目黒区中根１,東急東横線/都立大学駅 歩4分,新築,4階建,1階,12.3万円,10000円,-,-,1LDK,27.49m2,https://suumo.jp/chintai/jnc_000086634620/
1105,エルファーロ都立大学,賃貸マンション,東京都目黒区中根１,東急東横線/都立大学駅 歩4分,新築,4階建,4階,12.4万円,10000円,-,-,1LDK,27.49m2,https://suumo.jp/chintai/jnc_000086634628/
1106,エルファーロ都立大学,賃貸マンション,東京都目黒区中根１,東急東横線/都立大学駅 歩4分,新築,4階建,1階,12.4万円,10000円,-,-,1LDK,27.49m2,https://suumo.jp/chintai/jnc_000086634619/
1107,エルファーロ都立大学,賃貸マンション,東京都目黒区中根１,東急東横線/都立大学駅 歩4分,新築,4階建,4階,12.4万円,10000円,-,-,1LDK,27.49m2,https://suumo.jp/chintai/jnc_000086687799/
1108,エルファーロ都立大学,賃貸マンション,東京都目黒区中根１,東急東横線/都立大学駅 歩4分,新築,4階建,3階,12.7万円,10000円,-,-,1LDK,27.49m2,https://suumo.jp/chintai/jnc_000086634626/
1109,エルファーロ都立大学,賃貸マンション,東京都目黒区中根１,東急東横線/都立大学駅 歩4分,新築,4階建,2階,12.7万円,10000円,-,-,1LDK,27.49m2,https://suumo.jp/chintai/jnc_000086634623/
1110,エルファーロ都立大学,賃貸マンション,東京都目黒区中根１,東急東横線/都立大学駅 歩4分,新築,4階建,2階,12.7万円,10000円,-,-,1LDK,27.49m2,https://suumo.jp/chintai/jnc_000086687801/
1111,エルファーロ都立大学,賃貸マンション,東京都目黒区中根１,東急東横線/都立大学駅 歩4分,新築,4階建,3階,12.8万円,10000円,-,-,1LDK,27.49m2,https://suumo.jp/chintai/jnc_000086634625/
1112,エルファーロ都立大学,賃貸マンション,東京都目黒区中根１,東急東横線/都立大学駅 歩4分,新築,4階建,2階,12.8万円,10000円,-,-,1LDK,27.49m2,https://suumo.jp/chintai/jnc_000086634622/
1113,エルファーロ都立大学,賃貸マンション,東京都目黒区中根１,東急東横線/都立大学駅 歩4分,新築,4階建,3階,12.8万円,10000円,-,-,1LDK,27.49m2,https://suumo.jp/chintai/jnc_000086687800/
1114,エルファーロ都立大学,賃貸マンション,東京都目黒区中根１,東急東横線/都立大学駅 歩4分,新築,4階建,1階,22.8万円,15000円,-,-,2LDK,45.61m2,https://suumo.jp/chintai/jnc_000086634621/
1115,エルファーロ都立大学,賃貸マンション,東京都目黒区中根１,東急東横線/都立大学駅 歩4分,新築,4階建,3階,22.8万円,15000円,-,-,2LDK,45.61m2,https://suumo.jp/chintai/jnc_000086680335/
1116,エルファーロ都立大学,賃貸マンション,東京都目黒区中根１,東急東横線/都立大学駅 歩4分,新築,4階建,2階,23.3万円,10000円,-,-,2LDK,45.61m2,https://suumo.jp/chintai/jnc_000086640402/
1117,エルファーロ都立大学,賃貸マンション,東京都目黒区中根１,東急東横線/都立大学駅 歩4分,新築,4階建,3階,23.3万円,15000円,-,-,2LDK,45.61m2,https://suumo.jp/chintai/jnc_000086634627/
