,Unnamed: 0,名称,カテゴリー,アドレス,アクセス,築年数,構造,階数,家賃,管理費,敷金,礼金,間取り,面積,URL,沿線,駅,徒歩
50,50,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,3.0,7階建,7階,32.0,2.0,32.0,0.0,2LDK,54.95,https://suumo.jp/chintai/jnc_000084590151/,京王井の頭線,神泉駅,7
51,51,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,3.0,7階建,6階,32.0,2.0,32.0,0.0,2LDK,54.95,https://suumo.jp/chintai/jnc_000080424415/,京王井の頭線,神泉駅,7
52,52,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,3.0,7階建,1階,11.8,1.0,11.8,0.0,1K,26.47,https://suumo.jp/chintai/jnc_000086731742/,東急田園都市線,池尻大橋駅,11
53,53,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,3.0,7階建,1階,11.8,1.3,11.8,0.0,1K,26.47,https://suumo.jp/chintai/jnc_000086724089/,東急田園都市線,池尻大橋駅,11
54,54,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,3.0,7階建,4階,12.5,1.0,12.5,0.0,1K,26.47,https://suumo.jp/chintai/jnc_000070294103/,東急田園都市線,池尻大橋駅,11
55,55,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,3.0,7階建,4階,12.5,1.3,12.5,0.0,1K,26.47,https://suumo.jp/chintai/jnc_000086724092/,東急田園都市線,池尻大橋駅,11
56,56,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,3.0,7階建,3階,13.9,1.0,13.9,0.0,1K,28.77,https://suumo.jp/chintai/jnc_000070294101/,東急田園都市線,池尻大橋駅,11
57,57,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,3.0,7階建,3階,13.9,1.3,13.9,0.0,ワンルーム,28.77,https://suumo.jp/chintai/jnc_000086724091/,東急田園都市線,池尻大橋駅,11
58,58,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,3.0,7階建,3階,14.0,1.3,14.0,0.0,ワンルーム,29.18,https://suumo.jp/chintai/jnc_000085533763/,東急田園都市線,池尻大橋駅,11
59,59,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,3.0,7階建,6階,26.0,1.5,26.0,0.0,1LDK,45.63,https://suumo.jp/chintai/jnc_000086724093/,東急田園都市線,池尻大橋駅,11
60,60,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,3.0,7階建,5階,28.0,1.0,28.0,0.0,ワンルーム,51.3,https://suumo.jp/chintai/jnc_000077941380/,東急田園都市線,池尻大橋駅,11
61,61,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,3.0,7階建,6階,27.8,1.5,27.8,0.0,1LDK,51.3,https://suumo.jp/chintai/jnc_000084818352/,東急田園都市線,池尻大橋駅,11
62,62,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,3.0,7階建,3階,30.0,2.0,30.0,0.0,2LDK,54.95,https://suumo.jp/chintai/jnc_000086724090/,東急田園都市線,池尻大橋駅,11
63,63,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,3.0,7階建,2階,30.0,2.0,30.0,0.0,2LDK,54.95,https://suumo.jp/chintai/jnc_000083376170/,東急田園都市線,池尻大橋駅,11
64,64,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,3.0,7階建,7階,32.0,2.0,32.0,0.0,2LDK,54.95,https://suumo.jp/chintai/jnc_000084590151/,東急田園都市線,池尻大橋駅,11
65,65,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩11分,3.0,7階建,6階,32.0,2.0,32.0,0.0,2LDK,54.95,https://suumo.jp/chintai/jnc_000080424415/,東急田園都市線,池尻大橋駅,11
66,66,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,ＪＲ山手線/渋谷駅 歩13分,3.0,7階建,1階,11.8,1.0,11.8,0.0,1K,26.47,https://suumo.jp/chintai/jnc_000086731742/,ＪＲ山手線,渋谷駅,13
67,67,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,ＪＲ山手線/渋谷駅 歩13分,3.0,7階建,1階,11.8,1.3,11.8,0.0,1K,26.47,https://suumo.jp/chintai/jnc_000086724089/,ＪＲ山手線,渋谷駅,13
68,68,ザ パークハビオ神泉,賃貸マンション,東京都目黒区駒場１,ＪＲ山手線/渋谷駅 歩13分,3.0,7階建,4階,12.5,1.0,12.5,0.0,1K,26.47,https://suumo.jp/chintai/jnc_000070294103/,ＪＲ山手線,渋谷駅,13
